"Date","Type of Date","Cases","Cumulative"
2022-04-17,"Onset",1,1
2022-04-22,"Onset",3,4
2022-04-23,"Onset",1,5
2022-04-24,"Onset",2,7
2022-04-25,"Onset",1,8
2022-04-26,"Onset",1,9
2022-04-27,"Onset",2,11
2022-04-29,"Onset",5,16
2022-04-30,"Onset",4,20
2022-05-01,"Onset",5,25
2022-05-02,"Onset",11,36
2022-05-03,"Onset",1,37
2022-05-04,"Onset",9,46
2022-05-05,"Onset",10,56
2022-05-06,"Onset",6,62
2022-05-07,"Onset",15,77
2022-05-08,"Onset",7,84
2022-05-09,"Onset",24,108
2022-05-10,"Onset",19,127
2022-05-11,"Onset",20,147
2022-05-12,"Onset",27,174
2022-05-13,"Onset",24,198
2022-05-14,"Onset",28,226
2022-05-15,"Onset",37,263
2022-05-16,"Onset",54,317
2022-05-17,"Onset",46,363
2022-05-18,"Onset",55,418
2022-05-19,"Onset",57,475
2022-05-20,"Onset",67,542
2022-05-21,"Onset",58,600
2022-05-22,"Onset",55,655
2022-05-23,"Onset",68,723
2022-05-24,"Onset",77,800
2022-05-25,"Onset",86,886
2022-05-26,"Onset",56,942
2022-05-27,"Onset",65,1007
2022-05-28,"Onset",70,1077
2022-05-29,"Onset",86,1163
2022-05-30,"Onset",100,1263
2022-05-31,"Onset",95,1358
2022-06-01,"Onset",144,1502
2022-06-02,"Onset",129,1631
2022-06-03,"Onset",131,1762
2022-06-04,"Onset",115,1877
2022-06-05,"Onset",130,2007
2022-06-06,"Onset",176,2183
2022-06-07,"Onset",173,2356
2022-06-08,"Onset",172,2528
2022-06-09,"Onset",170,2698
2022-06-10,"Onset",197,2895
2022-06-11,"Onset",191,3086
2022-06-12,"Onset",218,3304
2022-06-13,"Onset",291,3595
2022-06-14,"Onset",223,3818
2022-06-15,"Onset",222,4040
2022-06-16,"Onset",195,4235
2022-06-17,"Onset",256,4491
2022-06-18,"Onset",239,4730
2022-06-19,"Onset",228,4958
2022-06-20,"Onset",337,5295
2022-06-21,"Onset",283,5578
2022-06-22,"Onset",257,5835
2022-06-23,"Onset",244,6079
2022-06-24,"Onset",268,6347
2022-06-25,"Onset",256,6603
2022-06-26,"Onset",234,6837
2022-06-27,"Onset",346,7183
2022-06-28,"Onset",274,7457
2022-06-29,"Onset",262,7719
2022-06-30,"Onset",269,7988
2022-07-01,"Onset",382,8370
2022-07-02,"Onset",289,8659
2022-07-03,"Onset",271,8930
2022-07-04,"Onset",392,9322
2022-07-05,"Onset",308,9630
2022-07-06,"Onset",319,9949
2022-07-07,"Onset",317,10266
2022-07-08,"Onset",339,10605
2022-07-09,"Onset",273,10878
2022-07-10,"Onset",321,11199
2022-07-11,"Onset",333,11532
2022-07-12,"Onset",314,11846
2022-07-13,"Onset",292,12138
2022-07-14,"Onset",275,12413
